"Nid","Title","theme camp","Activity Categories","Long Blurb for website / app","Scheduled activities","Short blurb for the WTF Guide","Type","latitude","longitude","Infustructure"
"6558","Mini Choptor","","","Ridiculously small pocket chopper that is one of a kind. It will have LED strips installed on the frame and back rest. Will also be fitted with leather tassels with an earthy feel when completed. It also have headlights and working indicators if needed. The mini Chopper weigh`s about 30kg. ","","Ridiculously small pocket chopper (+-30kg) that is one of a kind. It will have LED strips installed on the frame and back rest. Will also be fitted with leather tassels with an earthy feel when completely done. ","Mutant Vehicles","","",""
"6553","TechnoTrike ","","","TechnoTrike is back for another turn around the binnekring! Hop in Board to RaveRover or just join us for some frivolity as we amble along - yeeha! ","","TechnoTrike is back for another turn around the binnekring! Hop in Board to RaveRover or just join us for some frivolity as we amble along - yeeha! ","Mutant Vehicles","","",""
"6544","Tea trolley","","","not required","","not required","Mutant Vehicles","","",""
"6543","The desert surfer ","","","eclectic scooter that ill transform to a surf board and when ill ride on its look like im surfing in the desert     ","","surf board scooter","Mutant Vehicles","","",""
"6536","FELIX THE GRUNTER!","","","FELIX THE GRUNTER! ","","FELIX THE GRUNTER!","Mutant Vehicles","","",""
"6532","Mass Purple Wedding","","","","","","Performance Registration","","",""
"6528","Achist","","","","","","Performance Registration","","",""
"6527","REFLECTION","","","Being in the dessert, completely separated from society, with no one to judge and no one to tell you what to do or how to behave. Afrikaburn can realise aspects of yourself. Taking attention away from the everyday societal norms, redirecting towards the self and the community. We can become ourselves, through simultaneous and harmonious relinquishment of the norm, undivided reflection, pure play and magnificent dance!","","Simultaneous and harmonious reflection, play and dance!","Mutant Vehicles","","",""
"6522","Lightning McQueen (aka Elroy)","","","Recreating a childhood dream of driving around in one of our toy cars","","Little red mach box toy car","Mutant Vehicles","","",""
"6521","The mini chopper ","","","Small (mini) chopper (motorbike ) that has leather tassles on the handles, hand held gearshift, back rest with lights. Looks like a small Harley Davidson but only weigh's 30kg. Definitely one of a kind. Ridiculously small and super pimped! Only has a 50cc weed-eater engine not noisy and cant go fast. Has head lights and pimped lights on the back rest.  ","","Small (mini) chopper (motorbike ) that has leather tassles on the handles, hand held gearshift, back rest with lights. Looks like a small Harley Davidson but only weigh's 30kg. Definitely one of a kind. Ridiculously small and super pimped! Only has a 50cc weed-eater engine not noisy and cant go fast. Has head lights and pimped lights on the back rest.  ","Mutant Vehicles","","",""
"6510","The Mandala Sundial Garden","","","","","","Artwork Registration","","",""
"6508","Cousin ITT","","","Uts sfoo dedidivuh PAH! Cousin ITT returns to the playa, so get ready to play.","","Uts sfoo dedidivuh PAH! Cousin ITT returns to the playa, so get ready to play.","Mutant Vehicles","","",""
"6495","The magic School bus","","","The Magic School Bus will take you to a land where dreams and reality are blurred, a place that will transcend our reality where one can embrace their inner child and play in a fantasy land called Tankwa Town

If you see us, pull us over and ask us about all the fantasticaly magical places we have been with our magice bus","","The Magic School Bus will take you to a land where dreams and reality are blurred, a place that will transcend our reality where one can embrace their inner child and play in a fantasy land called Tankwa Town","Mutant Vehicles","","",""
"6490","WE BELONG HERE","","","","","","Artwork Registration","","",""
"6487","HANG IN THERE","","","","","","Artwork Registration","","",""
"6481","play for cheese","","","hungry? Play for cheese !! 
come and join our lovely raclette mountain lounge!
Play the game and enjoy a delicious raclette cheese snack.","","hungry? Play for cheese !! 
come and join our lovely raclette mountain lounge!
Play the game and enjoy a delicious raclette cheese snack.
","Mutant Vehicles","","",""
"6480","Theme Camp Form 3 - WTF Guide","","Party / Gathering, Workshop / Class","Play)A(Skool is a Global collective of soul adventurers with a mission to engender positive impact through shared learning. 
""Shared Learning"" means we aim to learn from each other's experiences, to widen our perspective and appreciate others. In growing we better ourselves, our communities, our personal and professional ecosystem. We have been in Blackrock City since 2011 and can't wait to carry our growing spirit to Tankwa Town. 
Come join us in our SkoolHouse under the big Bedouin tent to share your story, your gifts, or to listen to others and chill. In the mornings we have coffee, and the evenings soulful deep house.
","Day: Thursday","Play)A(Skool is a Global collective of soul adventurers with a mission to engender positive impact through shared learning. 
""Shared Learning"" means we aim to learn from each other's experiences, to widen our perspective and appreciate others. In growing we better ourselves, our communities, our personal and professional ecosystem. We have been in Blackrock City since 2011 and can't wait to carry our growing spirit to Tankwa Town. 
Come join us in our SkoolHouse under the big Bedouin tent to share your story, your gifts, or to listen to others and chill. In the mornings we have coffee, and the evenings soulful deep house.","Theme Camp Form 3 - WTF Guide","","",""
"6477","My Left Foot","","","This foot will go a long way!","","Slaat 'n toon in die stof met my linker voet!","Mutant Vehicles","","",""
"6476","Checkplate","","","Checkplate is built and operated by sheep farmers that will be attending for the 6th time. An old VW beetle that has been transformed with checker plate and light steel to create a mutant transporting friendly people that will always shift to make way for new passengers. ","","Checkplate is built and operated by sheep farmers that will be attending for the 6th time. An old VW beetle that has been transformed with checker plate and light steel to create a mutant transporting friendly people that will always shift to make way for new passengers. ","Mutant Vehicles","","",""
"6472","New retro wave moke","","","Baby luck dragon, possessing neither magical talent nor immense physical strength, but distinctive in its unfailing serendipity. ","","Baby luck dragon","Mutant Vehicles","","",""
"6471","Windplay","","","We are artists in lead and glass and ceramic and use earthy products to create our art. Our art is always colourful and dramatic and so is our mutant vehicle. It will be full of colors, fund and let it play with the wind.","","We are introducing the wind queen to Tankwa with our wind play machine and driving her around on the golden throne.","Mutant Vehicles","","",""
"6466","Tek(no)Trike","","","WTF is that!? Lounge in style while exploring the world of wonders that abound. 
Recycled from a scooter that had seen better days, the Tek(no)Trike could be the most comfortable way of getting around....and its twin is never far away, adding to the RaveRover spectacle ","","WTF is that!? Lounge in style while exploring the world of wonders that abound. ","Mutant Vehicles","","",""
"6460","picnic bench","","","we associate a picnic bench with fun in the sun and we want to share that at the Burn","","a tepee desert tribe picnic mover","Mutant Vehicles","","",""
"6446","Theme Camp Form 3 - WTF Guide 6446","","Family Friendly, Food / Drink, Game / Sport, Musical Collaberation, Party / Gathering","List of all daily activities will be listed in advance on black board at entrance to chill area.


Theme camp related
> Bob Dylan and Beatles paraphernalia e.g. 
  -1400  - 1700 We will play all the Beatles and Dylan's album chronologically (each day we play 1 to 2 albums and work through them from Monday to Sunday) 
> Quote of the day: updated Bob  and The Beatles iconic quotes  e.g. Don't criticize what can't understand ; All you need is Love "" on black board
> Beatles Juice and Marsh mellow pies (i.e. biscuits and nuts) : Every day we serve ~ 20 - 30 litres of Juice to Burners from approximate 1400-1700
> Display of Beatle's and Bob Dylan album artworks  
> Jamming Zone - where burners can come jam the classic 60's tunes (The good music !!) 1200-1700
> Daily Games - e.g. Cards against humanity , 
> Acroyoga - 3 times during the week we will do Acroyoga  1200-1400 announced on Activities blackboard
> Beatles Party (all invited) from 1600 - 2000 on Thursday. Play all the Beatles top tunes and Bob Dylan too! 
Creative installation: Labyrinth in the desert. Create your soul journey. Find the Labyrinth art installation in the desert

Mutant Vehicle - The Yellow Submarine
> Daily Cruise around the Binnekring and desert serving good vibes (Beatles music) and Beatle juice and marshmallow pies


","Start Hour: 14Finish time: 17Description: Standard Daily Activities from Monday to Sunday:
Check Blackboard at entrance to chill area for all events.  Daily Jamming Zone - where burners can come jam the classic 60 tunes (The good music !! Games Acroyoga.
 Thursday 1600 2000 Beatles Party (all invited)  Play all the Beatles top tunes and Bob Dylan too! 
 Daily Beetle juice at site and in desert with mutant vehicle , Day: ThursdayStart Hour: 16Finish time: 20Description:  Bob and The Beatles Party day - Thursday 1600 2000 

Everyone is invited for the Bob and the Beatles Party! We will reminisce on good 60's music by playing the real top tunes from The Beatles and Bob Dylan ! ","Open daily from 1200 until 1700 burners chill out in communal stretch tent area area whilst listening to all the Beatles and Dylan's album or jam with us or play games Acroyoga 3 times a week  serving  20 - 30l ice cold beatle juice ( non alcoholic ) daily and marshmallow pies nuts and biscuits 
 Mutant Vehicle - The Yellow Submarine cruising around the Binnekring  and desert serving good vibes (Beatles music) and Beatle juice and marshmallow pies.
See Black Board at entrance for daily activities.
","Theme Camp Form 3 - WTF Guide","","",""
"6443","BoekeRy","","","teh Tankwa Library is going mobile in order to spread the word-we will be gifting books along the way and provide a means of transport for the general population who want to chill and relax on board our mobile reading space.Feel free to stop us and hop on board !","","A mobile Library spreading the good word of the book","Mutant Vehicles","","",""
"6442","Theme Camp Form 3 - WTF Guide","","Adult, Game / Sport","Wild Ass Saloon is our portal to the Wild West.  Come and play some cards with our saloon girls, or chill on the stoep with the cowboys. If we’re out robbing a train you'll have to wait for a poker game... open the rest of the time, when the cowboys get their girls in line. Poker might get rough so keep your kids out the bluff.","Day: WednesdayStart Hour: 10Finish time: 24Description: we will open every day all day, closing randomly with a sign up to say when we will be back....
if we arent there we will leave cards on the table so peeps can start their own game.","Wild Ass Saloon is our portal to the Wild West.  Come and play some cards with our saloon girls, or chill on the stoep with the cowboys. If we’re out robbing a train you'll have to wait for a poker game... open the rest of the time, when the cowboys get their girls in line. Poker might get rough so keep your kids out the bluff.","Theme Camp Form 3 - WTF Guide","","",""
"6441","Theme Camp Form 3 - WTF Guide","","Food / Drink","Appearing for the first time at Afrikaburn, Camp Delicioso has been giving buckwheat crepes away at Black Rock Desert at Burning Man in the US for 10 years. An Aussie member of the camp now living in SA thought it might be great to spread the love, with mates from Oz, Germany and locals helping out. ","","Delicious crepes or pancakes served every morning from 9am - 11am! Gluten free and vegan options available...","Theme Camp Form 3 - WTF Guide","","",""
"6437","Theme Camp Form 3 - WTF Guide","","Party / Gathering","................................................................................................................................................................................................................................................................................................................................................................................................................................................","Description: none","We are the fire starters and noise makers with meanest art cars.....","Theme Camp Form 3 - WTF Guide","","",""
"6435","Theme Camp Form 3 - WTF Guide","","Food / Drink, Game / Sport, Musical Collaberation","PLAYSURE, standing for:
-People just want to have fun, right? Let us all just remember what it is to be a kid.
-Love at first sight. At second sight? Come and get married; come and chill in this playful space
-Abstraction of habits, & creation of new ones!
-Yaiiiii’. The sound that we aim at hearing all the time. Our own Anthem.
-Sharing is caring and we care a lot about the unique vibe in Afrikaburn. It’s our turn now to give back
-Unconventional. What if we create play areas where you design your own rules? 
-Rest if you wish. Sofas are here to accommodate you
-Energy up with our refreshing cocktails: alcoholic, non alcoholic, the rest is up to you.
","Day: MondayStart Hour: 17Finish time: 20Description: - Welcome refreshments
- Camp concept 
- Challenges for the week

ONGOING FOR THE WHOLE WEEK: 
soulmate card finder
circle spaces with rules, Day: TuesdayStart Hour: 16Finish time: 21Description: - Eye contact
- Pillow fight
- French aperitif
-Evening: VR drones, Telescope star watching, Orgasmic choir, Day: WednesdayStart Hour: 16Finish time: 21Description: - Group Laugheter
- Massage what you want
- Orgasmic Choir
- Wedding Chapel, Day: ThursdayStart Hour: 15Finish time: 21Description: - Giant games 
- Pop art initiation.
- Shamanic music
- SURPRISE
- French aperitif
- Evening: VR drones, telescope watching the stars, orgasmic choir, Day: FridayStart Hour: 15Finish time: 21Description: - bowling, twister
- no games, no rules: what's it gonna be?
- Wedding, Ceremony
- the classic vibe, Day: SaturdayStart Hour: 15Finish time: 19Description: - ""what if"" - a game where you're the president
- group laughter
- massage what you want
- shamanic vibe","A pop-art themed P.L.A.Y.G.R.O.U.N.D.  Playsure hunter this is home!
Afternoon sessions: we have numerous games & fun time: lose habits, lose rules & create new ones! You said Circus?
At night: our geeky lot will have you watch the stars, race through fluo circles with drones, while playing disco music during a very French “aperitif”. 
Oh, and we’ll marry whoever wants to in our chapel and unexpectedly turn into an Orgasmic Choir when the time is right!
","Theme Camp Form 3 - WTF Guide","","",""
"6431","Pacman","","","After a sojourn at an Iboga retreat in the rebel-held Congo, PacMan returns to his roots for a much needed Playa Pedicure.","","PacMan rides yet again!","Mutant Vehicles","","",""
"6425","Ronen Gold","","","The old car design (beginning of the last century) ","","The old car design (beginning of the last century) ","Mutant Vehicles","","",""
"6424","The Swan","","","Reflecting the sun off her metallic feathers by day, glowing with a deep blue effervesce by night, the Swan returns to the Burn to shed her love, light and happiness to the Playa.","","Reflecting the sun off her metallic feathers by day, glowing with a deep blue effervesce by night, the Swan returns to the Burn to shed her love, light and happiness to the Playa.","Mutant Vehicles","","",""
"6412","Toolbox","","","Toolbox","","Toolbox","Mutant Vehicles","","",""
"6411","Bakgatti","","","Bakgatti is back!","","Bakgatti","Mutant Vehicles","","",""
"6410","""IAMCHRIS: Citizen of the World"" Concerts","","","","","","Performance Registration","","",""
"6408","Theme Camp Form 3 - WTF Guide","","Adult, Food / Drink, Musical Collaberation, Party / Gathering","Our 2nd year,and we are here bigger and better,our theme 'The Bush' , a group of 23 Fenchman and a boertjie as camp leader.
We will be offering our music lounge as a chill room from 10 until fall down.We have raging fire every night, meet and greet,or just a hug and stay warm.
A  mutant vehicle is pending.
Friday and Saturday night party to electronic music.
We will be gifting refreshments.","Day: FridayStart Hour: 7Description: A electronic compilation to blow you away.
We have a French DJ of international acclaim.
We will have a chill lounge all day, a fire every evening.
Drinks midday every day.Please join.","Our 2nd year,and we are here bigger and better,our theme 'The Bush' , a group of 23 Fenchman and a boertjie as camp leader.
We will be offering our music lounge as a chill room from 10 until fall down.We have raging fire every night, meet and greet,or just a hug and stay warm.
A  mutant vehicle is pending.
Friday and Saturday night party to electronic music.
We will be gifting refreshments.","Theme Camp Form 3 - WTF Guide","","",""
"6407","Ghostbusters","","","1985 Cadillac Fleetwood Hearse in true Ghostbuster style....watch out ghost cause when we comin knockin...u toast.

Spacious interior, sound proofed... just right for a screaming ghost coffin....scream when you exterminated....","","Who you gonna call when the Afrikaburn comes knocking....that's right, Ghostbusters.

When there's something strange at the Afrikaburn...who you gonna call....Ghostbusters.

Based on 1984 Ghostbusters film....upgraded to 2017 style.

","Mutant Vehicles","","",""
"6406","Theme Camp Form 3 - WTF Guide","","Adult","DMV (Department of Mutant Vehicles) @ 6-ish, where mutants are wrangled and branded. Open daily from 10am to 5pm, and at night from 8pm to 10pm.","","DMV (Department of Mutant Vehicles) @ 6-ish, where mutants are wrangled and branded. Open daily from 10am to 5pm, and at night from 8pm to 10pm.","Theme Camp Form 3 - WTF Guide","","",""
"6402","Theme Camp Form 3 - WTF Guide 6402","","Care and Support, Family Friendly, Musical Collaberation, Workshop / Class","Choooo chooo! Lobo’s Lounge is waiting for you! We are looking for the extraordinary and original to come together and take stage in our majestic steampunk themed lounge. A place to let your creativity flow. 
Tankwa’s Talk: Call out to all passengers to board the train on our platform, we are hosting speakers, workshops, performers and bands to come play with us daily on the amazing Spirit Train in the mesmerizing Lobo’s Lounge decorum. We are planning 2 Tankwa’s Talk sessions @ Lobo’s Lounge during the week. 
And don’t miss the Open-Hearts Yoga sessions: to open your chakras for an even more magical week on the playa. Sessions, Wednesday and Friday morning.
Check our notice board at Off Center Camp and the lounge for daily schedules and activities. 
Lobo’s Lounge will be the place to enter a journey into the creative you. All aboard!","Day: WednesdayStart Hour: 11Finish time: 13Description: From 12ish to 1.30pm : We are hosting speakers, workshops, performers and bands to come play with us daily on the amazing Spirit Train in the mesmerizing Lobo’s Lounge decorum. Amazing international speakers scheduled to come share their passion with us, beautiful acoustic music to be played and mind opening worshops. 

From 2pm, join the train for its day and night into the playa., Day: ThursdayStart Hour: 11Finish time: 13Description: From 11ish to 1.30pm : We are hosting speakers, workshops, performers and bands to come play with us daily on the amazing Spirit Train in the mesmerizing Lobo’s Lounge decorum. Amazing international speakers scheduled to come share their passion with us, beautiful acoustic music to be played and mind opening worshops. 

From 2pm, join the train for its journey into the playa., Day: FridayStart Hour: 11Finish time: 13Description: From 12ish to 1.30pm : We are hosting speakers, workshops, performers and bands to come play with us daily on the amazing Spirit Train in the mesmerizing Lobo’s Lounge decorum. Amazing international speakers scheduled to come share their passion with us, beautiful acoustic music to be played and mind opening worshops. 

From 2pm, follow the train on the ride of its life into the playa. It won't stop until the mesmerizing Sunday night sunset, Day: WednesdayStart Hour: 9Finish time: 10Description: Open Hearts Yoga sessions. Tatum will bring you on a journey into yourself with a spiritual yoga class. Let it enlighten your day on the playa. 
, Day: FridayStart Hour: 9Finish time: 10Description: Open Hearts Yoga sessions. Tatum will bring you on a journey into yourself with a spiritual yoga class. Let it enlighten your day on the playa.  
","Choooo chooo! Lobo’s Lounge is waiting for you! We welcome you into our majestic steampunk  home, a place to let your creativity flow. Call out to all passengers to board the train on our platform, we are hosting speakers, workshops, performers and bands to come play with us daily on the amazing Spirit Train in the mesmerizing Lobo’s Lounge decorum. Watch our train timetable and don’t miss your spiritual departure on our Open-Hearts Yoga sessions, opening your chakras for an even more magical week on the playa. Lobo’s Lounge will be the place to embark on a journey into the creative you. All aboard! ","Theme Camp Form 3 - WTF Guide","","",""
"6400","Theme Camp Form 3 - WTF Guide","","Workshop / Class","In 2016, a crack unit of bush mechanics sent themselves to exile for a crime they didn't commit to. These men promptly escaped from a maximum security theme to the Tankwa underground. Today, still wanted by the ladies and the Landy owners alike, they survive as soldiers of mercy. If you have a problem with your petrol-chugger, a shocking issue with your starter, a brake problem that just won't stop; if no one else can help, and if you can find them, maybe you can drink beer and learn to fix stuff with... The Bad Mechanics.","Description: Daily workshops, check the board for more details.","In 2016, a crack unit of bush mechanics sent themselves to exile for a crime they didn't commit to. These men promptly escaped from a maximum security theme to the Tankwa underground. Today, still wanted by the ladies and the Landy owners alike, they survive as soldiers of mercy. If you have a problem with your petrol-chugger, a shocking issue with your starter, a brake problem that just won't stop; if no one else can help, and if you can find them, maybe you can drink beer and learn to fix stuff with... The Bad Mechanics.","Theme Camp Form 3 - WTF Guide","","",""
"6395","Wild Frico","","","The French Wild AfrikaBurn vehicle will be a pleasing addition to the Mutant vehicles at this years Burn.Enjoy the French flare this vehicle is going to offer, refreshments and a passionate bunch of French party goers with a bit of Burning experience.As our theme is WILD, come and join us for a game viewing ride to experience all the wild sights AfrikaBurn has to offer.","","The French Wild AfrikaBurn vehicle will be a pleasing addition to the Mutant vehicles at this years Burn.Enjoy the French flare this vehicle is going to offer, refreshments and a passionate bunch of French party goers with a bit of Burning experience.As our theme is WILD, come and join us for a game viewing ride to experience all the wild sights AfrikaBurn has to offer.","Mutant Vehicles","","",""
"6390","Burn Kudu","","","Burn Kudu from rust to dust","","Burn Kudu from rust to dust","Mutant Vehicles","","",""
"6383","Theme Camp Form 3 - WTF Guide","","Family Friendly, Musical Collaberation, Ritual / Ceremony, Workshop / Class","Uprize Plaza presents the Mantis Lounge. Our art installation shall be the Praying Mantis Stage presenting cultural workshops promoting the rich Khoisan heritage. Burners can expect workshops on indigenous language, poetry & prayer, traditional medicines, fire making and music...a one day music set extravaganza as well, so come dressed uP to receive a free gift...limited 1000 gifts available, so dont miss out...Our stage remains an open platform for all other Burners to utilize to come entertain and educate...RADICAL INCLUSION!!!
","","Uprize Plaza presents the Mantis Lounge. Our art installation shall be the Praying Mantis Stage presenting cultural workshops promoting the rich Khoisan heritage. Burners can expect workshops on indigenous language, poetry & prayer, traditional medicines, fire making and music...a one day music set extravaganza as well, so come dressed uP to receive a free gift...limited 1000 gifts available, so dont miss out...Our stage remains an open platform for all other Burners to utilize to come entertain and educate...RADICAL INCLUSION!!!
","Theme Camp Form 3 - WTF Guide","","",""
"6379","Dragon Rider","","","The Dragon Rider is a red-eyed beast brought from a far away land to prowl the desert. He is built on a 3 wheeler trike base, with a passenger and wing operator sitting behind the driver. The dragons head and mane has been carefully put together by welding sheets of steel and then given a rustic finish. The eyes will light up with LED lights. We hope to be able to put a mechanism to blow fire out the nostrils as the flames need to be vertical for safety reasons. We will be adding to light weight psychedelic material wings that will be manually operated to flap up and down. The rustic, fire snorting beast from a distant land will have you in fear at first but then fill you with love and admiration with its beautiful psychedelic wings. The dragon comes from a family of war dragons but the Dragon Rider has broken away from a history of war and wants to lead a life of beauty and love in the Tankwa Desert.","","The rustic, fire snorting beast from a distant land will have you in fear at first but then fill you with love and admiration with its beautiful psychedelic wings. The dragon comes from a family of war dragons but the Dragon Rider has broken away from a history of war and wants to lead a life of beauty and love in the Tankwa Desert.","Mutant Vehicles","","",""
"6375","Theme Camp Form 3 - WTF Guide 6375","","Family Friendly, Food / Drink","Visit HEARTBURN and experience the importance of perspective by viewing our artwork from the comfort of the red couch. 
If you're feeling creative why not linger and contribute a few lines of colour to the drawings we have available. 
We'll be gifting morning HEARTSTARTERS and evening HEARTWARMERS so make sure to have your cup with you when you come and visit - check our chalkboard for serving times.","","Visit HEARTBURN and experience the importance of perspective by viewing our artwork from the comfort of the red couch. 
If you're feeling creative why not linger and contribute a few lines of colour to the drawings we have available. 
We'll be gifting morning HEARTSTARTERS and evening HEARTWARMERS so make sure to have your cup with you when you come and visit - check our chalkboard for serving times.","Theme Camp Form 3 - WTF Guide","","",""
